"question","dv","term","n","estimate","conf.low","conf.high","p.value","sig","direction","battery","battery_title"
"cc1_pref_logit","No increase, regardless of implications for issue","incomeHigh_bin",2058,0.001,-0.056,0.059,0.963,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","quebec_bin",2058,0.045,-0.023,0.113,0.194,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","region_eastcoast_bin",2058,-0.015,-0.075,0.044,0.611,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","ses_male_bin",2058,0.012,-0.032,0.055,0.603,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","trust_inst_fed_bin",2058,-0.071,-0.129,-0.013,0.016,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","trust_inst_prov_bin",2058,0,-0.058,0.059,0.995,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","univ_educ_bin",2058,0.002,-0.042,0.045,0.943,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","vote_PCC_bin",2058,0.066,0.002,0.13,0.044,"*","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","vote_PLC_bin",2058,-0.013,-0.072,0.046,0.663,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","age18_34_bin",2034,-0.006,-0.026,0.015,0.583,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","age55plus_bin",2034,-0.016,-0.035,0.003,0.101,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","alberta_bin",2034,-0.012,-0.031,0.007,0.231,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","children_bin",2034,0.002,-0.017,0.021,0.836,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","employ_fulltime_bin",2034,-0.026,-0.043,-0.009,0.003,"**","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","ideo_define_QC_first_bin",2034,0.019,-0.022,0.061,0.364,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","ideo_right_num",2034,-0.048,-0.09,-0.005,0.027,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","ideo_vote_fed_left",2034,-0.016,-0.056,0.023,0.42,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","ideo_vote_prov_left",2034,0.015,-0.009,0.038,0.226,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","incomeHigh_bin",2034,0.011,-0.012,0.034,0.344,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","quebec_bin",2034,-0.003,-0.027,0.021,0.804,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","region_eastcoast_bin",2034,-0.005,-0.026,0.015,0.624,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","ses_male_bin",2034,0.015,-0.002,0.031,0.081,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","trust_inst_fed_bin",2034,0.016,-0.005,0.037,0.14,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","trust_inst_prov_bin",2034,-0.003,-0.022,0.016,0.744,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","univ_educ_bin",2034,0.01,-0.006,0.026,0.213,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","vote_PCC_bin",2034,-0.01,-0.033,0.013,0.385,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Raise taxes","vote_PLC_bin",2034,-0.001,-0.022,0.019,0.895,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","age18_34_bin",2036,0.059,0.016,0.101,0.007,"**","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","age55plus_bin",2036,0.005,-0.031,0.042,0.778,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","alberta_bin",2036,0.005,-0.032,0.041,0.807,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","children_bin",2036,0.032,0.004,0.06,0.027,"*","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","employ_fulltime_bin",2036,0.013,-0.017,0.043,0.389,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","ideo_define_QC_first_bin",2036,-0.053,-0.087,-0.019,0.002,"**","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","ideo_right_num",2036,-0.007,-0.07,0.057,0.837,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","ideo_vote_fed_left",2036,0.032,-0.032,0.096,0.332,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","ideo_vote_prov_left",2036,-0.048,-0.091,-0.005,0.027,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","incomeHigh_bin",2036,-0.008,-0.042,0.027,0.661,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","quebec_bin",2036,0.026,-0.018,0.07,0.244,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","region_eastcoast_bin",2036,-0.003,-0.039,0.034,0.891,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","ses_male_bin",2036,-0.027,-0.053,-0.001,0.043,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","trust_inst_fed_bin",2036,-0.025,-0.056,0.006,0.12,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","trust_inst_prov_bin",2036,-0.016,-0.049,0.016,0.331,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","univ_educ_bin",2036,-0.033,-0.06,-0.006,0.017,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","vote_PCC_bin",2036,0.006,-0.03,0.041,0.755,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Cut other spending","vote_PLC_bin",2036,-0.005,-0.039,0.029,0.768,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","age18_34_bin",2035,0.019,-0.014,0.052,0.263,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","age55plus_bin",2035,0.004,-0.023,0.031,0.769,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","alberta_bin",2035,-0.02,-0.048,0.007,0.138,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","children_bin",2035,0.011,-0.013,0.035,0.357,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","employ_fulltime_bin",2035,0.017,-0.008,0.041,0.182,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","ideo_define_QC_first_bin",2035,0.026,-0.029,0.082,0.349,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","ideo_right_num",2035,-0.086,-0.142,-0.03,0.003,"**","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","ideo_vote_fed_left",2035,0.007,-0.05,0.064,0.803,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","ideo_vote_prov_left",2035,0.019,-0.012,0.051,0.224,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","incomeHigh_bin",2035,-0.013,-0.039,0.013,0.327,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","quebec_bin",2035,-0.004,-0.039,0.031,0.817,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","region_eastcoast_bin",2035,0.006,-0.023,0.035,0.684,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","ses_male_bin",2035,-0.013,-0.034,0.009,0.247,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","trust_inst_fed_bin",2035,0.019,-0.011,0.049,0.223,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","trust_inst_prov_bin",2035,-0.026,-0.054,0.001,0.057,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_intense_logit","Increase debt","univ_educ_bin",2035,0.001,-0.02,0.023,0.913,"","No clear effect","cc1","Increase childcare spending, how to fund it"
