"question","dv","term","n","estimate","conf.low","conf.high","p.value","sig","direction","model"
"intense_logit","Income tax increase (intense)","children_bin",2032,-0.01,-0.044,0.025,0.578,"","No clear effect","Logit AME"
"intense_logit","Income tax increase (intense)","employ_fulltime_bin",2032,-0.02,-0.055,0.015,0.266,"","No clear effect","Logit AME"
"intense_logit","Income tax increase (intense)","ideo_define_QC_first_bin",2032,0.016,-0.049,0.081,0.638,"","No clear effect","Logit AME"
"intense_logit","Income tax increase (intense)","ideo_right_num",2032,-0.114,-0.19,-0.037,0.003,"**","Negative","Logit AME"
"intense_logit","Income tax increase (intense)","ideo_vote_fed_left",2032,0.162,0.077,0.248,0,"***","Positive","Logit AME"
"intense_logit","Income tax increase (intense)","ideo_vote_prov_left",2032,0.036,-0.01,0.081,0.125,"","No clear effect","Logit AME"
"intense_logit","Income tax increase (intense)","incomeHigh_bin",2032,-0.023,-0.063,0.016,0.245,"","No clear effect","Logit AME"
"intense_logit","Income tax increase (intense)","quebec_bin",2032,0.039,-0.016,0.094,0.168,"","No clear effect","Logit AME"
"intense_logit","Income tax increase (intense)","region_eastcoast_bin",2032,0.023,-0.023,0.068,0.328,"","No clear effect","Logit AME"
"intense_logit","Income tax increase (intense)","ses_male_bin",2032,0.005,-0.026,0.036,0.758,"","No clear effect","Logit AME"
"intense_logit","Income tax increase (intense)","trust_inst_fed_bin",2032,0.031,-0.008,0.07,0.123,"","No clear effect","Logit AME"
"intense_logit","Income tax increase (intense)","trust_inst_prov_bin",2032,-0.05,-0.085,-0.015,0.005,"**","Negative","Logit AME"
"intense_logit","Income tax increase (intense)","univ_educ_bin",2032,-0.027,-0.059,0.004,0.091,".","No clear effect","Logit AME"
"intense_logit","Income tax increase (intense)","vote_PCC_bin",2032,0.11,0.037,0.182,0.003,"**","Positive","Logit AME"
"intense_logit","Income tax increase (intense)","vote_PLC_bin",2032,0.044,0.003,0.084,0.035,"*","Positive","Logit AME"
"intense_logit","No tax increase, fewer services (intense)","age18_34_bin",2032,-0.018,-0.058,0.022,0.385,"","No clear effect","Logit AME"
"intense_logit","No tax increase, fewer services (intense)","age55plus_bin",2032,0.011,-0.028,0.049,0.583,"","No clear effect","Logit AME"
"intense_logit","No tax increase, fewer services (intense)","alberta_bin",2032,0.015,-0.025,0.055,0.46,"","No clear effect","Logit AME"
"intense_logit","No tax increase, fewer services (intense)","children_bin",2032,-0.001,-0.032,0.03,0.941,"","No clear effect","Logit AME"
"intense_logit","No tax increase, fewer services (intense)","employ_fulltime_bin",2032,-0.015,-0.049,0.018,0.371,"","No clear effect","Logit AME"
"intense_logit","No tax increase, fewer services (intense)","ideo_define_QC_first_bin",2032,-0.058,-0.106,-0.01,0.019,"*","Negative","Logit AME"
"intense_logit","No tax increase, fewer services (intense)","ideo_right_num",2032,0.247,0.173,0.32,0,"***","Positive","Logit AME"
"intense_logit","No tax increase, fewer services (intense)","ideo_vote_fed_left",2032,-0.111,-0.223,0,0.051,".","No clear effect","Logit AME"
"intense_logit","No tax increase, fewer services (intense)","ideo_vote_prov_left",2032,-0.1,-0.151,-0.048,0,"***","Negative","Logit AME"
"intense_logit","No tax increase, fewer services (intense)","incomeHigh_bin",2032,0.093,0.047,0.138,0,"***","Positive","Logit AME"
"intense_logit","No tax increase, fewer services (intense)","quebec_bin",2032,0.035,-0.016,0.085,0.176,"","No clear effect","Logit AME"
"intense_logit","No tax increase, fewer services (intense)","region_eastcoast_bin",2032,0.025,-0.019,0.07,0.264,"","No clear effect","Logit AME"
"intense_logit","No tax increase, fewer services (intense)","ses_male_bin",2032,0.007,-0.022,0.037,0.627,"","No clear effect","Logit AME"
"intense_logit","No tax increase, fewer services (intense)","trust_inst_fed_bin",2032,-0.096,-0.13,-0.062,0,"***","Negative","Logit AME"
"intense_logit","No tax increase, fewer services (intense)","trust_inst_prov_bin",2032,0.006,-0.033,0.044,0.774,"","No clear effect","Logit AME"
"intense_logit","No tax increase, fewer services (intense)","univ_educ_bin",2032,0.016,-0.014,0.045,0.3,"","No clear effect","Logit AME"
"intense_logit","No tax increase, fewer services (intense)","vote_PCC_bin",2032,0.029,-0.01,0.068,0.14,"","No clear effect","Logit AME"
"intense_logit","No tax increase, fewer services (intense)","vote_PLC_bin",2032,0.013,-0.05,0.077,0.683,"","No clear effect","Logit AME"
"intense_logit","Childcare: broad beneficiaries (intense)","age18_34_bin",2034,-0.041,-0.081,-0.001,0.044,"*","Negative","Logit AME"
"intense_logit","Childcare: broad beneficiaries (intense)","age55plus_bin",2034,-0.017,-0.058,0.024,0.41,"","No clear effect","Logit AME"
"intense_logit","Childcare: broad beneficiaries (intense)","alberta_bin",2034,-0.009,-0.052,0.033,0.667,"","No clear effect","Logit AME"
"intense_logit","Childcare: broad beneficiaries (intense)","children_bin",2034,-0.007,-0.041,0.026,0.671,"","No clear effect","Logit AME"
