"question","dv","term","estimate","conf.low","conf.high","p.value","sig","direction","model"
"prio_pref_lpm","Home care for seniors","incomeHigh_bin",-0.027,-0.077,0.023,0.292,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","quebec_bin",-0.045,-0.134,0.044,0.322,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","region_eastcoast_bin",-0.066,-0.119,-0.012,0.016,"*","Negative","LPM"
"prio_pref_lpm","Home care for seniors","ses_citizenYes_bin",0.013,-0.04,0.066,0.634,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","ses_french_bin",0.063,-0.019,0.145,0.131,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","ses_male_bin",-0.017,-0.056,0.022,0.402,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","univ_educ_bin",-0.086,-0.125,-0.047,0,"***","Negative","LPM"
"prio_pref_lpm","Home care for seniors","vote_PCC_bin",-0.059,-0.116,-0.003,0.039,"*","Negative","LPM"
"prio_pref_lpm","Home care for seniors","vote_PLC_bin",-0.038,-0.087,0.011,0.125,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","age18_34_bin",0.096,0.044,0.148,0,"***","Positive","LPM"
"prio_pref_lpm","Subsidized child care","age55plus_bin",-0.077,-0.115,-0.039,0,"***","Negative","LPM"
"prio_pref_lpm","Subsidized child care","alberta_bin",-0.035,-0.077,0.007,0.098,".","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","children_bin",0.009,-0.027,0.044,0.63,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","employ_fulltime_bin",0.027,-0.008,0.063,0.131,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","ideo_define_QC_first_bin",-0.009,-0.072,0.054,0.788,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","ideo_right_num",-0.053,-0.136,0.03,0.209,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","incomeHigh_bin",-0.036,-0.075,0.002,0.067,".","No clear effect","LPM"
